Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Yes,18,108,86,73,10
"No, they were too harsh",18,100,81,58,13
"No, they were too lenient",2,28,21,31,7
No opinion,15,42,36,11,1
Not familiar enough to answer,12,74,113,46,3
