Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Yes,93,123,22,46,11
"No, they were too harsh",80,91,18,63,17
"No, they were too lenient",35,33,5,11,6
No opinion,27,34,9,25,9
Not familiar enough to answer,61,110,33,41,5
